Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Trapani;2015-08-30 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-30 01:00:00;1;O3;32,120298;80400000;00:00;9,46817025;00:56;47,97857295;9,95174429;720;FALSE
Trapani;2015-08-30 02:00:00;2;O3;40,2346014;80400000;01:34;25,1666856;01:46;46,50686145;4,81616741;720;FALSE
Trapani;2015-08-30 03:00:00;3;O3;20,8645878;80400000;02:50;1,86419783;02:00;39,6387348;8,73349953;720;FALSE
Trapani;2015-08-30 04:00:00;4;O3;16,71170204;81400000;03:22;3,33593526;04:00;34,9782552;6,53429931;720;FALSE
Trapani;2015-08-30 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-30 06:00:00;6;O3;17,370465;80400000;05:37;6,72807765;05:10;29,19524895;6,58608552;720;FALSE
Trapani;2015-08-30 07:00:00;7;O3;19,65073604;80400000;06:00;6,96966018;06:44;26,5378491;3,83513414;720;FALSE
Trapani;2015-08-30 08:00:00;8;O3;37,79593335;80400000;07:14;19,77354026;07:58;56,4940908;10,77276858;720;FALSE
Trapani;2015-08-30 09:00:00;9;O3;67,32604305;80400000;08:04;50,9376966;08:58;77,99494395;7,63370591;720;FALSE
Trapani;2015-08-30 10:00:00;10;O3;75,0748026;80400000;09:34;71,4722316;09:58;80,65236375;2,21943152;720;FALSE
Trapani;2015-08-30 11:00:00;11;O3;82,9809477;80400000;10:05;77,27020035;10:52;86,45035245;1,91922192;720;FALSE
Trapani;2015-08-30 12:00:00;12;O3;87,37607235;80400000;11:05;82,82659455;11:53;92,7314703;2,12592786;720;FALSE
Trapani;2015-08-30 13:00:00;13;O3;87,1438743;80400000;12:08;83,7929127;12:59;92,48989575;2,04473336;720;FALSE
Trapani;2015-08-30 14:00:00;14;O3;93,2995266;80400000;13:56;86,20875795;13:18;100,22056065;3,78590951;720;FALSE
Trapani;2015-08-30 15:00:00;15;O3;89,7855336;80400000;14:59;86,93350155;14:22;92,97308475;1,34785592;720;FALSE
Trapani;2015-08-30 16:00:00;16;O3;83,0390022;80400000;15:56;78,7197075;15:06;87,89983965;2,15343692;720;FALSE
Trapani;2015-08-30 17:00:00;17;O3;75,22077675;80400000;16:59;71,4722316;16:00;80,16917475;1,85453604;720;FALSE
Trapani;2015-08-30 18:00:00;18;O3;72,3224607;80400000;17:09;68,0900682;17:23;76,30386225;1,63799276;720;FALSE
Trapani;2015-08-30 19:00:00;19;O3;71,7084396;80400000;18:15;66,3989865;18:18;76,78705125;2,09036699;720;FALSE
Trapani;2015-08-30 20:00:00;20;O3;65,93393205;80400000;19:46;56,97725985;19:15;71,9553807;3,62691798;720;FALSE
Trapani;2015-08-30 21:00:00;21;O3;64,03920075;80400000;20:40;53,836671;20:25;71,23061715;4,78420751;720;FALSE
Trapani;2015-08-30 22:00:00;22;O3;56,43637545;80400000;21:57;49,00504035;21:17;61,80891045;2,9820083;720;FALSE
Trapani;2015-08-30 23:00:00;23;O3;44,29584285;80400000;22:24;31,61107425;22:00;57,94359795;5,36692706;720;FALSE
Trapani;2015-08-31 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 00:00:00;0;O3;48,27794265;80400000;23:59;41,0328009;23:50;57,94359795;3,72236676;720;FALSE
Trapani;2015-08-31 01:00:00;1;O3;32,5025799;80400000;00:38;17,59929749;00:07;45,8644515;7,96407192;720;FALSE
Trapani;2015-08-31 01:00:00;1;O3;32,5025799;80400000;00:38;17,59929749;00:07;45,8644515;7,96407192;720;TRUE
Trapani;2015-08-31 02:00:00;2;O3;44,433438;80400000;01:00;33,78530505;01:36;50,9376966;3,7827594;718;FALSE
Trapani;2015-08-31 02:00:00;2;O3;44,433438;80400000;01:00;33,78530505;01:36;50,9376966;3,7827594;718;TRUE
Trapani;2015-08-31 03:00:00;3;O3;41,10360345;80400000;02:46;32,57741235;02:00;47,0723442;3,3663251;720;FALSE
Trapani;2015-08-31 03:00:00;3;O3;41,10360345;80400000;02:46;32,57741235;02:00;47,0723442;3,3663251;720;TRUE
Trapani;2015-08-31 04:00:00;4;O3;41,2854477;81400000;03:01;33,0605814;03:45;48,03870225;2,91224514;720;FALSE
Trapani;2015-08-31 04:00:00;4;O3;41,2854477;81400000;03:01;33,0605814;03:45;48,03870225;2,91224514;720;TRUE
Trapani;2015-08-31 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 06:00:00;6;O3;17,98929006;80400000;05:12;1,42715517;05:55;31,5197232;8,44580258;720;FALSE
Trapani;2015-08-31 06:00:00;6;O3;17,98929006;80400000;05:12;1,42715517;05:55;31,5197232;8,44580258;720;TRUE
Trapani;2015-08-31 07:00:00;7;O3;30,0932583;80400000;06:51;19,2869817;06:36;39,59334855;5,17693722;720;FALSE
Trapani;2015-08-31 07:00:00;7;O3;30,0932583;80400000;06:51;19,2869817;06:36;39,59334855;5,17693722;720;TRUE
Trapani;2015-08-31 08:00:00;8;O3;39,54578775;80400000;07:25;22,4674905;07:54;62,8355973;11,75662677;720;FALSE
Trapani;2015-08-31 08:00:00;8;O3;39,54578775;80400000;07:25;22,4674905;07:54;62,8355973;11,75662677;720;TRUE
Trapani;2015-08-31 09:00:00;9;O3;66,36373485;80400000;08:00;57,2085003;08:56;78,49353435;5,18071376;720;FALSE
Trapani;2015-08-31 09:00:00;9;O3;66,36373485;80400000;08:00;57,2085003;08:56;78,49353435;5,18071376;720;TRUE
Trapani;2015-08-31 10:00:00;10;O3;84,36932805;80400000;09:00;77,51490705;09:48;96,1086861;3,64293983;720;FALSE
Trapani;2015-08-31 10:00:00;10;O3;84,36932805;80400000;09:00;77,51490705;09:48;96,1086861;3,64293983;720;TRUE
Trapani;2015-08-31 11:00:00;11;O3;88,5682245;80400000;10:05;77,75953395;10:54;95,3747256;4,5771305;720;FALSE
Trapani;2015-08-31 11:00:00;11;O3;88,5682245;80400000;10:05;77,75953395;10:54;95,3747256;4,5771305;720;TRUE
Trapani;2015-08-31 12:00:00;12;O3;90,90363135;80400000;11:29;85,3438656;11:57;96,1086861;2,4285155;720;FALSE
Trapani;2015-08-31 12:00:00;12;O3;90,90363135;80400000;11:29;85,3438656;11:57;96,1086861;2,4285155;720;TRUE
Trapani;2015-08-31 13:00:00;13;O3;102,77555715;80400000;12:02;94,15145145;12:36;107,60748705;3,07375236;720;FALSE
Trapani;2015-08-31 13:00:00;13;O3;102,77555715;80400000;12:02;94,15145145;12:36;107,60748705;3,07375236;720;TRUE
Trapani;2015-08-31 14:00:00;14;O3;102,10172595;80400000;13:44;95,6193924;13:23;107,85215385;2,8082019;720;FALSE
Trapani;2015-08-31 14:00:00;14;O3;102,10172595;80400000;13:44;95,6193924;13:23;107,85215385;2,8082019;720;TRUE
Trapani;2015-08-31 15:00:00;15;O3;94,66249065;80400000;14:41;83,38663095;14:10;113,7238578;7,03822035;720;FALSE
Trapani;2015-08-31 15:00:00;15;O3;94,66249065;80400000;14:41;83,38663095;14:10;113,7238578;7,03822035;720;TRUE
Trapani;2015-08-31 16:00:00;16;O3;103,83538095;80400000;15:07;93,417471;15:45;116,4150729;6,50588054;720;FALSE
Trapani;2015-08-31 16:00:00;16;O3;103,83538095;80400000;15:07;93,417471;15:45;116,4150729;6,50588054;720;TRUE
Trapani;2015-08-31 17:00:00;17;O3;106,91633925;80400000;16:56;98,0659407;16:04;114,21317145;4,04895225;720;FALSE
Trapani;2015-08-31 17:00:00;17;O3;106,91633925;80400000;16:56;98,0659407;16:04;114,21317145;4,04895225;720;TRUE
Trapani;2015-08-31 18:00:00;18;O3;101,671185;80400000;18:00;91,94955;17:13;108,34144755;3,478482;720;FALSE
Trapani;2015-08-31 18:00:00;18;O3;101,671185;80400000;18:00;91,94955;17:13;108,34144755;3,478482;720;TRUE
Trapani;2015-08-31 19:00:00;19;O3;88,43705325;80400000;18:30;78,49353435;18:59;94,6407651;4,01632203;720;FALSE
Trapani;2015-08-31 19:00:00;19;O3;88,43705325;80400000;18:30;78,49353435;18:59;94,6407651;4,01632203;720;TRUE
Trapani;2015-08-31 20:00:00;20;O3;87,58449;80400000;19:34;78,73816125;19:00;94,3960983;3,72352985;720;FALSE
Trapani;2015-08-31 20:00:00;20;O3;87,58449;80400000;19:34;78,73816125;19:00;94,3960983;3,72352985;720;TRUE
Trapani;2015-08-31 21:00:00;21;O3;80,71512645;80400000;20:31;69,44126175;20:13;93,90678465;7,46922215;720;FALSE
Trapani;2015-08-31 21:00:00;21;O3;80,71512645;80400000;20:31;69,44126175;20:13;93,90678465;7,46922215;720;TRUE
Trapani;2015-08-31 22:00:00;22;O3;64,61376075;80400000;21:13;51,82611;21:06;78,0042207;6,10809549;720;FALSE
Trapani;2015-08-31 22:00:00;22;O3;64,61376075;80400000;21:13;51,82611;21:06;78,0042207;6,10809549;720;TRUE
Trapani;2015-08-31 23:00:00;23;O3;48,02274225;80400000;22:58;25,8926661;22:00;67,72867395;9,83835846;720;FALSE
Trapani;2015-08-31 23:00:00;23;O3;48,02274225;80400000;22:58;25,8926661;22:00;67,72867395;9,83835846;720;TRUE
Trapani;2015-09-01 00:00:00;0;O3;52,85128065;80400000;23:00;31,0304295;23:32;64,5481851;8,91197423;720;FALSE
Trapani;2015-09-01 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 00:00:00;0;O3;52,85128065;80400000;23:00;31,0304295;23:32;64,5481851;8,91197423;720;TRUE
Trapani;2015-09-01 01:00:00;1;O3;53,48569065;80400000;00:59;41,79525;00:20;59,8997154;3,59500995;720;FALSE
Trapani;2015-09-01 01:00:00;1;O3;53,48569065;80400000;00:59;41,79525;00:20;59,8997154;3,59500995;720;TRUE
Trapani;2015-09-01 02:00:00;2;O3;44,09905605;80400000;01:18;35,43421245;01:43;52,5600705;3,86332349;720;FALSE
Trapani;2015-09-01 02:00:00;2;O3;44,09905605;80400000;01:18;35,43421245;01:43;52,5600705;3,86332349;720;TRUE
Trapani;2015-09-01 03:00:00;3;O3;50,1223401;80400000;02:03;41,55060315;02:54;59,8997154;4,70642046;720;FALSE
Trapani;2015-09-01 03:00:00;3;O3;50,1223401;80400000;02:03;41,55060315;02:54;59,8997154;4,70642046;720;TRUE
Trapani;2015-09-01 04:00:00;4;O3;38,1740058;81400000;03:51;27,84990075;03:02;50,3581491;5,69211006;720;FALSE
Trapani;2015-09-01 04:00:00;4;O3;38,1740058;81400000;03:51;27,84990075;03:02;50,3581491;5,69211006;720;TRUE
Trapani;2015-09-01 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 05:00:00;5;O3;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 06:00:00;6;O3;16,65991383;80400000;05:35;5,26354616;05:08;36,86873715;7,21725963;720;FALSE
Trapani;2015-09-01 06:00:00;6;O3;16,65991383;80400000;05:35;5,26354616;05:08;36,86873715;7,21725963;720;TRUE
Trapani;2015-09-01 07:00:00;7;O3;43,4601573;80400000;06:07;17,23521996;06:45;65,840187;12,53108777;720;FALSE
Trapani;2015-09-01 07:00:00;7;O3;43,4601573;80400000;06:07;17,23521996;06:45;65,840187;12,53108777;720;TRUE
Trapani;2015-09-01 08:00:00;8;O3;64,7767323;80400000;07:02;49,79813265;07:36;73,50208425;6,41836587;720;FALSE
Trapani;2015-09-01 08:00:00;8;O3;64,7767323;80400000;07:02;49,79813265;07:36;73,50208425;6,41836587;720;TRUE
Trapani;2015-09-01 09:00:00;9;O3;74,1940899;80400000;08:01;66,55848675;08:40;79,2484623;2,55310325;720;FALSE
Trapani;2015-09-01 09:00:00;9;O3;74,1940899;80400000;08:01;66,55848675;08:40;79,2484623;2,55310325;720;TRUE
Trapani;2015-09-01 10:00:00;10;O3;80,8942575;80400000;09:50;72,54432465;09:44;86,6708997;2,83580871;720;FALSE
Trapani;2015-09-01 10:00:00;10;O3;80,8942575;80400000;09:50;72,54432465;09:44;86,6708997;2,83580871;720;TRUE
Trapani;2015-09-01 11:00:00;11;O3;79,74595545;80400000;10:20;72,3049047;10:36;86,91035955;3,69682079;720;FALSE
Trapani;2015-09-01 11:00:00;11;O3;79,74595545;80400000;10:20;72,3049047;10:36;86,91035955;3,69682079;720;TRUE
Trapani;2015-09-01 12:00:00;12;O3;84,30816135;80400000;11:21;78,2907426;11:54;88,586379;2,32395755;720;FALSE
Trapani;2015-09-01 12:00:00;12;O3;84,30816135;80400000;11:21;78,2907426;11:54;88,586379;2,32395755;720;TRUE
Trapani;2015-09-01 13:00:00;13;O3;86,36464725;80400000;12:53;82,839981;12:30;89,30467875;1,44683186;720;FALSE
Trapani;2015-09-01 13:00:00;13;O3;86,36464725;80400000;12:53;82,839981;12:30;89,30467875;1,44683186;720;TRUE
Trapani;2015-09-01 14:00:00;14;O3;83,21210835;80400000;13:59;75,4175436;13:07;89,78355855;3,10353971;720;FALSE
Trapani;2015-09-01 14:00:00;14;O3;83,21210835;80400000;13:59;75,4175436;13:07;89,78355855;3,10353971;720;TRUE
Trapani;2015-09-01 15:00:00;15;O3;77,91709905;80400000;14:51;73,50208425;14:11;81,1639416;1,59151923;719;FALSE
Trapani;2015-09-01 15:00:00;15;O3;77,91709905;80400000;14:51;73,50208425;14:11;81,1639416;1,59151923;719;TRUE
Trapani;2015-09-01 16:00:00;16;O3;70,16464875;80400000;16:00;63,9247476;15:01;78,7696224;2,99302668;720;FALSE
Trapani;2015-09-01 16:00:00;16;O3;70,16464875;80400000;16:00;63,9247476;15:01;78,7696224;2,99302668;720;TRUE
Trapani;2015-09-01 17:00:00;17;O3;65,6938737;80400000;16:00;62,0092683;16:59;69,4317057;1,41720212;720;FALSE
Trapani;2015-09-01 17:00:00;17;O3;65,6938737;80400000;16:00;62,0092683;16:59;69,4317057;1,41720212;720;TRUE
Trapani;2015-09-01 18:00:00;18;O3;67,2694848;80400000;17:09;62,72756805;17:45;71,58660495;1,71785859;720;FALSE
Trapani;2015-09-01 18:00:00;18;O3;67,2694848;80400000;17:09;62,72756805;17:45;71,58660495;1,71785859;720;TRUE
Trapani;2015-09-01 19:00:00;19;O3;68,31632115;80400000;18:37;64,64300745;18:21;74,220384;1,8515216;720;FALSE
Trapani;2015-09-01 19:00:00;19;O3;68,31632115;80400000;18:37;64,64300745;18:21;74,220384;1,8515216;720;TRUE
Trapani;2015-09-01 20:00:00;20;O3;64,44119325;80400000;19:44;58,8966294;19:09;68,71340595;2,07194715;720;FALSE
Trapani;2015-09-01 20:00:00;20;O3;64,44119325;80400000;19:44;58,8966294;19:09;68,71340595;2,07194715;720;TRUE
Trapani;2015-09-01 21:00:00;21;O3;59,81678325;80400000;20:42;52,43193165;20:27;67,9951062;3,89672577;720;FALSE
Trapani;2015-09-01 21:00:00;21;O3;59,81678325;80400000;20:42;52,43193165;20:27;67,9951062;3,89672577;720;TRUE
Trapani;2015-09-01 22:00:00;22;O3;50,1629583;80400000;21:42;40,46025585;21:01;59,13604935;5,28561086;720;FALSE
Trapani;2015-09-01 22:00:00;22;O3;50,1629583;80400000;21:42;40,46025585;21:01;59,13604935;5,28561086;720;TRUE
Trapani;2015-09-01 23:00:00;23;O3;49,55905185;80400000;22:05;39,26309625;22:49;55,30513065;2,98557536;720;FALSE
Trapani;2015-09-01 23:00:00;23;O3;49,55905185;80400000;22:05;39,26309625;22:49;55,30513065;2,98557536;720;TRUE
Trapani;2015-09-02 00:00:00;0;O3;32,5220112;80400000;23:54;20,108403;23:00;52,67137155;7,71887844;720;FALSE
Trapani;2015-09-02 00:00:00;0;O3;32,5220112;80400000;23:54;20,108403;23:00;52,67137155;7,71887844;720;TRUE
Trapani;2015-09-02 00:00:00;0;O3;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-02 01:00:00;1;O3;34,81727865;80400000;00:00;24,6576414;00:57;45,24893415;4,68610937;720;FALSE
Trapani;2015-09-02 01:00:00;1;O3;34,81727865;80400000;00:00;24,6576414;00:57;45,24893415;4,68610937;720;TRUE
Trapani;2015-09-02 02:00:00;2;O3;35,09095275;80400000;01:58;24,41822145;01:01;43,5728748;5,18832867;720;FALSE
Trapani;2015-09-02 02:00:00;2;O3;35,09095275;80400000;01:58;24,41822145;01:01;43,5728748;5,18832867;720;TRUE
Trapani;2015-09-02 03:00:00;3;O3;31,75950225;80400000;02:48;25,37594115;02:28;37,34761695;2,71618652;720;FALSE
