Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Trapani;2015-08-30 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-30 01:00:00;1;Benzene;1,32561882;80400000;00:55;0,70488982;00:10;1,64306317;0,36669867;4;FALSE
Trapani;2015-08-30 02:00:00;2;Benzene;0,42106241;80400000;01:40;0,24955248;01:10;0,51339584;0,10324076;4;FALSE
Trapani;2015-08-30 03:00:00;3;Benzene;0,80300489;80400000;02:10;0,4806942;02:55;1,26767321;0,29476728;4;FALSE
Trapani;2015-08-30 04:00:00;4;Benzene;0,99196858;80400000;03:55;0,54103078;03:10;1,44235517;0,31892408;4;FALSE
Trapani;2015-08-30 05:00:00;5;Benzene;0,49562783;80400000;04:25;0,3949133;04:55;0,54125757;0,05865242;4;FALSE
Trapani;2015-08-30 06:00:00;6;Benzene;0,56937254;80400000;05:25;0,47695673;05:10;0,61254927;0,05395795;4;FALSE
Trapani;2015-08-30 07:00:00;7;Benzene;0,79358442;80400000;06:40;0,68089879;06:55;1,01559959;0,13081671;4;FALSE
Trapani;2015-08-30 08:00:00;8;Benzene;1,10666482;80400000;07:10;0,71599546;07:55;1,49252072;0,27536394;4;FALSE
Trapani;2015-08-30 09:00:00;9;Benzene;1,63795986;80400000;08:55;0,66215345;08:10;2,51379518;0,66205276;4;FALSE
Trapani;2015-08-30 10:00:00;10;Benzene;0,6800262;80400000;09:55;0,58770498;09:10;0,72355787;0,05428543;4;FALSE
Trapani;2015-08-30 11:00:00;11;Benzene;0,48783761;80400000;10:55;0,22781919;10:10;0,71172609;0,17335172;4;FALSE
Trapani;2015-08-30 12:00:00;12;Benzene;0,46818409;80400000;11:10;0,35797485;11:25;0,51664414;0,06405371;4;FALSE
Trapani;2015-08-30 13:00:00;13;Benzene;0,16994884;80400000;12:55;0,08641652;12:10;0,26450238;0,06325943;4;FALSE
Trapani;2015-08-30 14:00:00;14;Benzene;0,06264923;80400000;13:10;0,05221278;13:25;0,0840937;0,01272674;4;FALSE
Trapani;2015-08-30 15:00:00;15;Benzene;0,07073438;80400000;14:10;0,06413507;14:40;0,07598922;0,0043314;4;FALSE
Trapani;2015-08-30 16:00:00;16;Benzene;0,06952415;80400000;15:10;0,03906704;15:55;0,11601326;0,03042152;4;FALSE
Trapani;2015-08-30 17:00:00;17;Benzene;0,12393264;80400000;16:25;0,0887719;16:55;0,16950746;0,03234772;4;FALSE
Trapani;2015-08-30 18:00:00;18;Benzene;0,10309532;80400000;17:40;0,0815634;17:25;0,13799673;0,02204754;4;FALSE
Trapani;2015-08-30 19:00:00;19;Benzene;0,24169514;80400000;18:10;0,18963796;18:25;0,34565694;0,06267873;4;FALSE
Trapani;2015-08-30 20:00:00;20;Benzene;0,2853102;80400000;19:25;0,21496939;19:10;0,3582891;0,05117137;4;FALSE
Trapani;2015-08-30 21:00:00;21;Benzene;0,38991475;80400000;20:40;0,20593742;20:10;0,54413161;0,12082469;4;FALSE
Trapani;2015-08-30 22:00:00;22;Benzene;0,2920163;80400000;21:40;0,1550386;21:10;0,51928427;0,13787672;4;FALSE
Trapani;2015-08-30 23:00:00;23;Benzene;0,71513813;80400000;22:25;0,49469321;22:55;0,81952199;0,12903899;4;FALSE
Trapani;2015-08-31 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 00:00:00;0;Benzene;0,82333676;80400000;23:40;0,68632347;23:10;0,94884981;0,12222001;4;FALSE
Trapani;2015-08-31 01:00:00;1;Benzene;0,74384397;80400000;00:10;0,46518699;00:55;1,21789716;0,28816187;4;FALSE
Trapani;2015-08-31 01:00:00;1;Benzene;0,74384397;80400000;00:10;0,46518699;00:55;1,21789716;0,28816187;4;TRUE
Trapani;2015-08-31 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 04:00:00;4;Benzene;0,44422255;80400000;03:55;0,39188671;03:10;0,49104014;0,04527684;4;FALSE
Trapani;2015-08-31 04:00:00;4;Benzene;0,44422255;80400000;03:55;0,39188671;03:10;0,49104014;0,04527684;4;TRUE
Trapani;2015-08-31 05:00:00;5;Benzene;0,53121368;80400000;04:40;0,44775866;04:10;0,62862804;0,07384539;4;FALSE
Trapani;2015-08-31 05:00:00;5;Benzene;0,53121368;80400000;04:40;0,44775866;04:10;0,62862804;0,07384539;4;TRUE
Trapani;2015-08-31 06:00:00;6;Benzene;0,75893523;80400000;05:40;0,55519454;05:25;1,06075643;0,19256081;4;FALSE
Trapani;2015-08-31 06:00:00;6;Benzene;0,75893523;80400000;05:40;0,55519454;05:25;1,06075643;0,19256081;4;TRUE
Trapani;2015-08-31 07:00:00;7;Benzene;0,74910288;80400000;06:10;0,44725626;06:40;1,14019735;0,26310705;4;FALSE
Trapani;2015-08-31 07:00:00;7;Benzene;0,74910288;80400000;06:10;0,44725626;06:40;1,14019735;0,26310705;4;TRUE
Trapani;2015-08-31 08:00:00;8;Benzene;1,37645865;80400000;07:55;1,01030204;07:10;1,70231562;0,24773917;4;FALSE
Trapani;2015-08-31 08:00:00;8;Benzene;1,37645865;80400000;07:55;1,01030204;07:10;1,70231562;0,24773917;4;TRUE
Trapani;2015-08-31 09:00:00;9;Benzene;0,50099963;80400000;08:40;0,44132207;08:10;0,5467992;0,03928468;4;FALSE
Trapani;2015-08-31 09:00:00;9;Benzene;0,50099963;80400000;08:40;0,44132207;08:10;0,5467992;0,03928468;4;TRUE
Trapani;2015-08-31 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 11:00:00;11;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 11:00:00;11;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 12:00:00;12;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 12:00:00;12;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 13:00:00;13;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 13:00:00;13;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 14:00:00;14;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 14:00:00;14;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 15:00:00;15;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 15:00:00;15;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 16:00:00;16;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 16:00:00;16;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 17:00:00;17;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 17:00:00;17;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 18:00:00;18;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 18:00:00;18;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 19:00:00;19;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 19:00:00;19;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 20:00:00;20;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 20:00:00;20;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 21:00:00;21;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 21:00:00;21;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 22:00:00;22;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 22:00:00;22;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-08-31 23:00:00;23;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-08-31 23:00:00;23;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 01:00:00;1;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 02:00:00;2;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 03:00:00;3;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 04:00:00;4;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 04:00:00;4;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 05:00:00;5;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 05:00:00;5;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 06:00:00;6;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 06:00:00;6;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 07:00:00;7;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 07:00:00;7;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 08:00:00;8;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 08:00:00;8;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 09:00:00;9;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 09:00:00;9;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 10:00:00;10;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 11:00:00;11;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 11:00:00;11;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 12:00:00;12;Benzene;0,23840514;80410000;11:23;0,02545449;11:38;0,4034978;0,15800417;3;FALSE
Trapani;2015-09-01 12:00:00;12;Benzene;0,23840514;80410000;11:23;0,02545449;11:38;0,4034978;0,15800417;3;TRUE
Trapani;2015-09-01 13:00:00;13;Benzene;0,25155088;80400000;12:38;0,12015957;12:08;0,34504674;0,08825323;4;FALSE
Trapani;2015-09-01 13:00:00;13;Benzene;0,25155088;80400000;12:38;0,12015957;12:08;0,34504674;0,08825323;4;TRUE
Trapani;2015-09-01 14:00:00;14;Benzene;0,10840305;80400000;13:38;0,06590974;13:08;0,18318204;0,04660708;4;FALSE
Trapani;2015-09-01 14:00:00;14;Benzene;0,10840305;80400000;13:38;0,06590974;13:08;0,18318204;0,04660708;4;TRUE
Trapani;2015-09-01 15:00:00;15;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 15:00:00;15;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 16:00:00;16;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-01 16:00:00;16;Benzene;NA;NA;;NA;;NA;NA;NA;TRUE
Trapani;2015-09-01 17:00:00;17;Benzene;0,13340599;80400000;16:38;0,09550037;16:53;0,21828481;0,04956553;4;FALSE
Trapani;2015-09-01 17:00:00;17;Benzene;0,13340599;80400000;16:38;0,09550037;16:53;0,21828481;0,04956553;4;TRUE
Trapani;2015-09-01 18:00:00;18;Benzene;0,15346225;80400000;17:38;0,08940752;17:08;0,19876146;0,0405366;4;FALSE
Trapani;2015-09-01 18:00:00;18;Benzene;0,15346225;80400000;17:38;0,08940752;17:08;0,19876146;0,0405366;4;TRUE
Trapani;2015-09-01 19:00:00;19;Benzene;0,34332395;80400000;18:08;0,27005927;18:38;0,38046377;0,04333946;4;FALSE
Trapani;2015-09-01 19:00:00;19;Benzene;0,34332395;80400000;18:08;0,27005927;18:38;0,38046377;0,04333946;4;TRUE
Trapani;2015-09-01 20:00:00;20;Benzene;0,36539793;80400000;19:53;0,27622635;19:23;0,48953193;0,08210139;4;FALSE
Trapani;2015-09-01 20:00:00;20;Benzene;0,36539793;80400000;19:53;0,27622635;19:23;0,48953193;0,08210139;4;TRUE
Trapani;2015-09-01 21:00:00;21;Benzene;0,45929246;80400000;20:53;0,40844246;20:23;0,50927902;0,03591332;4;FALSE
Trapani;2015-09-01 21:00:00;21;Benzene;0,45929246;80400000;20:53;0,40844246;20:23;0,50927902;0,03591332;4;TRUE
Trapani;2015-09-01 22:00:00;22;Benzene;0,46923261;80400000;21:08;0,35408482;21:53;0,67922786;0,12533406;4;FALSE
Trapani;2015-09-01 22:00:00;22;Benzene;0,46923261;80400000;21:08;0,35408482;21:53;0,67922786;0,12533406;4;TRUE
Trapani;2015-09-01 23:00:00;23;Benzene;0,36093025;80400000;22:53;0,26073236;22:08;0,41763003;0,0605176;4;FALSE
Trapani;2015-09-01 23:00:00;23;Benzene;0,36093025;80400000;22:53;0,26073236;22:08;0,41763003;0,0605176;4;TRUE
Trapani;2015-09-02 00:00:00;0;Benzene;0,62289826;80400000;23:08;0,30670279;23:23;0,87788864;0,20966167;4;FALSE
Trapani;2015-09-02 00:00:00;0;Benzene;0,62289826;80400000;23:08;0,30670279;23:23;0,87788864;0,20966167;4;TRUE
Trapani;2015-09-02 00:00:00;0;Benzene;NA;NA;;NA;;NA;NA;NA;FALSE
Trapani;2015-09-02 01:00:00;1;Benzene;0,5884901;80400000;00:38;0,28956736;00:08;1,16543827;0,34383041;4;FALSE
Trapani;2015-09-02 01:00:00;1;Benzene;0,5884901;80400000;00:38;0,28956736;00:08;1,16543827;0,34383041;4;TRUE
Trapani;2015-09-02 02:00:00;2;Benzene;0,40009187;80400000;01:38;0,22994472;01:23;0,54673106;0,11516406;4;FALSE
Trapani;2015-09-02 02:00:00;2;Benzene;0,40009187;80400000;01:38;0,22994472;01:23;0,54673106;0,11516406;4;TRUE
Trapani;2015-09-02 03:00:00;3;Benzene;0,51224765;80400000;02:53;0,41803887;02:23;0,64053711;0,08052809;4;FALSE
Trapani;2015-09-02 03:00:00;3;Benzene;0,51224765;80400000;02:53;0,41803887;02:23;0,64053711;0,08052809;4;TRUE
Trapani;2015-09-02 04:00:00;4;Benzene;0,43429256;80400000;03:08;0,29182205;03:23;0,60275556;0,1136945;4;FALSE
Trapani;2015-09-02 04:00:00;4;Benzene;0,43429256;80400000;03:08;0,29182205;03:23;0,60275556;0,1136945;4;TRUE
Trapani;2015-09-02 05:00:00;5;Benzene;0,34112723;80400000;04:23;0,23073594;04:53;0,44954654;0,10257971;4;FALSE
Trapani;2015-09-02 05:00:00;5;Benzene;0,34112723;80400000;04:23;0,23073594;04:53;0,44954654;0,10257971;4;TRUE
Trapani;2015-09-02 06:00:00;6;Benzene;0,50399774;80400000;05:38;0,41129717;05:08;0,56101178;0,05595636;4;FALSE
Trapani;2015-09-02 06:00:00;6;Benzene;0,50399774;80400000;05:38;0,41129717;05:08;0,56101178;0,05595636;4;TRUE
Trapani;2015-09-02 07:00:00;7;Benzene;0,6822514;80400000;06:08;0,47495222;06:53;0,80991541;0,12624631;4;FALSE
Trapani;2015-09-02 07:00:00;7;Benzene;0,6822514;80400000;06:08;0,47495222;06:53;0,80991541;0,12624631;4;TRUE
Trapani;2015-09-02 08:00:00;8;Benzene;0,97466738;80400000;07:53;0,56659206;07:38;1,25802188;0,28182901;4;FALSE
Trapani;2015-09-02 08:00:00;8;Benzene;0,97466738;80400000;07:53;0,56659206;07:38;1,25802188;0,28182901;4;TRUE
Trapani;2015-09-02 09:00:00;9;Benzene;0,97003799;80400000;08:23;0,43671506;08:38;1,57673138;0,49888833;4;FALSE
Trapani;2015-09-02 09:00:00;9;Benzene;0,97003799;80400000;08:23;0,43671506;08:38;1,57673138;0,49888833;4;TRUE
Trapani;2015-09-02 10:00:00;10;Benzene;0,7925359;80400000;09:53;0,62849481;09:08;1,08122762;0,17472772;4;FALSE
Trapani;2015-09-02 10:00:00;10;Benzene;0,7925359;80400000;09:53;0,62849481;09:08;1,08122762;0,17472772;4;TRUE
Trapani;2015-09-02 11:00:00;11;Benzene;0,32947749;80400000;10:23;0,21224078;10:08;0,41842431;0,07723912;4;FALSE
Trapani;2015-09-02 11:00:00;11;Benzene;0,32947749;80400000;10:23;0,21224078;10:08;0,41842431;0,07723912;4;TRUE
Trapani;2015-09-02 12:00:00;12;Benzene;0,27804678;80400000;11:53;0,14719346;11:38;0,45768966;0,11935817;4;FALSE
Trapani;2015-09-02 12:00:00;12;Benzene;0,27804678;80400000;11:53;0,14719346;11:38;0,45768966;0,11935817;4;TRUE
Trapani;2015-09-02 13:00:00;13;Benzene;0,24082865;80400000;12:53;0,20232605;12:23;0,29948413;0,03724661;4;FALSE
Trapani;2015-09-02 13:00:00;13;Benzene;0,24082865;80400000;12:53;0,20232605;12:23;0,29948413;0,03724661;4;TRUE
Trapani;2015-09-02 14:00:00;14;Benzene;0,14422179;80400000;13:53;0,11354195;13:38;0,19503009;0,03070628;4;FALSE
Trapani;2015-09-02 14:00:00;14;Benzene;0,14422179;80400000;13:53;0,11354195;13:38;0,19503009;0,03070628;4;TRUE
Trapani;2015-09-02 15:00:00;15;Benzene;0,17371886;80400000;14:23;0,07691063;14:53;0,29691824;0,08658535;4;FALSE
Trapani;2015-09-02 15:00:00;15;Benzene;0,17371886;80400000;14:23;0,07691063;14:53;0,29691824;0,08658535;4;TRUE
Trapani;2015-09-02 16:00:00;16;Benzene;0,17836146;80400000;15:23;0,10390587;15:38;0,25094068;0,0631618;4;FALSE
Trapani;2015-09-02 16:00:00;16;Benzene;0,17836146;80400000;15:23;0,10390587;15:38;0,25094068;0,0631618;4;TRUE
Trapani;2015-09-02 17:00:00;17;Benzene;0,40711832;80400000;16:53;0,2081921;16:08;0,78616134;0,22330981;4;FALSE
Trapani;2015-09-02 17:00:00;17;Benzene;0,40711832;80400000;16:53;0,2081921;16:08;0,78616134;0,22330981;4;TRUE
Trapani;2015-09-02 18:00:00;18;Benzene;0,59750581;80400000;17:23;0,47862461;17:53;0,68541122;0,08840171;4;FALSE
Trapani;2015-09-02 18:00:00;18;Benzene;0,59750581;80400000;17:23;0,47862461;17:53;0,68541122;0,08840171;4;TRUE
Trapani;2015-09-02 19:00:00;19;Benzene;0,66238125;80400000;18:08;0,47430032;18:38;0,81914265;0,14302478;4;FALSE
Trapani;2015-09-02 19:00:00;19;Benzene;0,66238125;80400000;18:08;0,47430032;18:38;0,81914265;0,14302478;4;TRUE
Trapani;2015-09-02 20:00:00;20;Benzene;0,7088907;80400000;19:53;0,54158199;19:38;0,90078639;0,14247967;4;FALSE
Trapani;2015-09-02 20:00:00;20;Benzene;0,7088907;80400000;19:53;0,54158199;19:38;0,90078639;0,14247967;4;TRUE
Trapani;2015-09-02 21:00:00;21;Benzene;0,71965768;80400000;20:08;0,56802603;20:23;0,89470677;0,11843067;4;FALSE
Trapani;2015-09-02 21:00:00;21;Benzene;0,71965768;80400000;20:08;0,56802603;20:23;0,89470677;0,11843067;4;TRUE
Trapani;2015-09-02 22:00:00;22;Benzene;0,89546545;80400000;21:38;0,6695867;21:08;1,0891948;0,16148129;4;FALSE
Trapani;2015-09-02 22:00:00;22;Benzene;0,89546545;80400000;21:38;0,6695867;21:08;1,0891948;0,16148129;4;TRUE
