Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
VILLA AUGUSTA;2015-09-07 09:00:00;9;Benzene;0,04786511;80000000;09:00;0;08:12;0,23767188;0,09531527;720;2;FALSE
VILLA AUGUSTA;2015-09-07 09:00:00;9;Benzene;0,04786511;80000000;09:00;0;08:12;0,23767188;0,09531527;720;2;TRUE
VILLA AUGUSTA;2015-09-07 10:00:00;10;Benzene;0;80000000;10:00;0;10:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 10:00:00;10;Benzene;0;80000000;10:00;0;10:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 11:00:00;11;Benzene;0;80000000;11:00;0;11:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 11:00:00;11;Benzene;0;80000000;11:00;0;11:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 12:00:00;12;Benzene;0,11751537;80000000;12:00;0;11:54;0,47534478;0,20506178;720;2;FALSE
VILLA AUGUSTA;2015-09-07 12:00:00;12;Benzene;0,11751537;80000000;12:00;0;11:54;0,47534478;0,20506178;720;2;TRUE
VILLA AUGUSTA;2015-09-07 13:00:00;13;Benzene;0;80000000;13:00;0;13:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 13:00:00;13;Benzene;0;80000000;13:00;0;13:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 14:00:00;14;Benzene;0;80000000;14:00;0;14:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 14:00:00;14;Benzene;0;80000000;14:00;0;14:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 15:00:00;15;Benzene;0;80000000;15:00;0;15:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 15:00:00;15;Benzene;0;80000000;15:00;0;15:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 16:00:00;16;Benzene;0,35254712;80000000;16:00;0;15:37;1,42603333;0,61518737;720;2;FALSE
VILLA AUGUSTA;2015-09-07 16:00:00;16;Benzene;0,35254712;80000000;16:00;0;15:37;1,42603333;0,61518737;720;2;TRUE
VILLA AUGUSTA;2015-09-07 17:00:00;17;Benzene;0;80000000;17:00;0;17:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 17:00:00;17;Benzene;0;80000000;17:00;0;17:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 18:00:00;18;Benzene;0;80000000;18:00;0;18:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 18:00:00;18;Benzene;0;80000000;18:00;0;18:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 19:00:00;19;Benzene;0;80000000;19:00;0;19:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 19:00:00;19;Benzene;0;80000000;19:00;0;19:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 20:00:00;20;Benzene;0;80000000;20:00;0;20:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 20:00:00;20;Benzene;0;80000000;20:00;0;20:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 21:00:00;21;Benzene;0,03917077;80000000;21:00;0;20:48;0,1584486;0,06835257;720;2;FALSE
VILLA AUGUSTA;2015-09-07 21:00:00;21;Benzene;0,03917077;80000000;21:00;0;20:48;0,1584486;0,06835257;720;2;TRUE
VILLA AUGUSTA;2015-09-07 22:00:00;22;Benzene;0;80000000;22:00;0;22:00;0;0;720;2;FALSE
VILLA AUGUSTA;2015-09-07 22:00:00;22;Benzene;0;80000000;22:00;0;22:00;0;0;720;2;TRUE
VILLA AUGUSTA;2015-09-07 23:00:00;23;Benzene;0;80000000;23:00;0;23:00;0;0;700;2;FALSE
VILLA AUGUSTA;2015-09-07 23:00:00;23;Benzene;0;80000000;23:00;0;23:00;0;0;700;2;TRUE
VILLA AUGUSTA;2015-09-08 00:00:00;0;Benzene;0,63159361;80000000;23:31;0;23:59;1,50525763;0,67538055;720;2;FALSE
VILLA AUGUSTA;2015-09-08 00:00:00;0;Benzene;0,63159361;80000000;23:31;0;23:59;1,50525763;0,67538055;720;2;TRUE
VILLA AUGUSTA;2015-09-08 01:00:00;1;Benzene;1,47324044;80000000;00:46;0;01:00;3,16896692;1,48334027;720;1;FALSE
VILLA AUGUSTA;2015-09-08 02:00:00;2;Benzene;0,69915394;80000000;02:00;0;01:01;3,16896692;1,16975849;720;1;FALSE
VILLA AUGUSTA;2015-09-08 03:00:00;3;Benzene;0,9988852;80000000;03:00;0;02:30;2,29750267;1,02869347;720;1;FALSE
VILLA AUGUSTA;2015-09-08 04:00:00;4;Benzene;0,4986707;80000000;03:44;0;03:59;1,90138218;0,83320268;720;1;FALSE
VILLA AUGUSTA;2015-09-08 05:00:00;5;Benzene;0,40140176;80000000;05:00;0;04:13;1,74293358;0,7305711;720;1;FALSE
VILLA AUGUSTA;2015-09-08 06:00:00;6;Benzene;0;80000000;06:00;0;06:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 07:00:00;7;Benzene;0;80000000;07:00;0;07:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 08:00:00;8;Benzene;0;80000000;08:00;0;08:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 09:00:00;9;Benzene;0;80000000;09:00;0;09:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 10:00:00;10;Benzene;0,41724662;80000000;09:40;0;09:25;0,87146527;0,38397038;720;1;FALSE
VILLA AUGUSTA;2015-09-08 11:00:00;11;Benzene;0,05281586;80000000;11:00;0;10:10;0,31689618;0,11810014;720;1;FALSE
VILLA AUGUSTA;2015-09-08 12:00:00;12;Benzene;0;80000000;12:00;0;12:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 13:00:00;13;Benzene;0,17649221;80000000;13:00;0;12:53;0,71301667;0,30752351;720;1;FALSE
VILLA AUGUSTA;2015-09-08 14:00:00;14;Benzene;0;80000000;14:00;0;14:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 15:00:00;15;Benzene;0,13710075;80000000;15:00;0;14:22;0,55456908;0,23923908;720;1;FALSE
VILLA AUGUSTA;2015-09-08 16:00:00;16;Benzene;0;80000000;16:00;0;16:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 17:00:00;17;Benzene;0,29543952;80000000;17:00;0;16:21;1,18836145;0,51361958;720;1;FALSE
VILLA AUGUSTA;2015-09-08 18:00:00;18;Benzene;0,01980608;80000000;18:00;0;17:44;0,1584486;0,03481089;720;1;FALSE
VILLA AUGUSTA;2015-09-08 19:00:00;19;Benzene;0;80000000;19:00;0;19:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 20:00:00;20;Benzene;0;80000000;20:00;0;20:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 21:00:00;21;Benzene;0;80000000;21:00;0;21:00;0;0;720;1;FALSE
VILLA AUGUSTA;2015-09-08 22:00:00;22;Benzene;5,33343683;80000000;21:47;0;22:00;25,43095962;10,35320238;720;1;FALSE
VILLA AUGUSTA;2015-09-08 23:00:00;23;Benzene;4,4595511;80000000;23:00;0;22:02;25,43095962;7,35407243;720;1;FALSE
VILLA AUGUSTA;2015-09-09 00:00:00;0;Benzene;0;80000000;00:00;0;00:00;0;0;720;1;FALSE
