Stazione;xtime;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;is_dup
Misterbianco;2015-08-30 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-08-30 01:00:00;1;NO2;16,39727758;80400000;00:44;9,1617629;00:10;25,6692692;4,10620929;720;FALSE
Misterbianco;2015-08-30 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-08-30 03:00:00;3;NO2;8,60149146;80400000;02:56;3,79921092;02:05;15,2296689;2,36892785;720;FALSE
Misterbianco;2015-08-30 04:00:00;4;NO2;9,23845131;80400000;03:39;5,17086825;03:59;16,17270362;2,41684448;720;FALSE
Misterbianco;2015-08-30 05:00:00;5;NO2;21,78391312;80400000;04:00;13,38649707;04:14;32,98968624;3,9197109;720;FALSE
Misterbianco;2015-08-30 06:00:00;6;NO2;20,83340056;80400000;05:31;14,72955662;05:10;30,78937576;4,15608954;720;FALSE
Misterbianco;2015-08-30 07:00:00;7;NO2;21,70508136;80400000;06:31;12,4577641;06:10;36,5902308;6,26048263;720;FALSE
Misterbianco;2015-08-30 08:00:00;8;NO2;18,9155747;80400000;07:20;11,02891312;07:28;25,67420216;3,20201302;720;FALSE
Misterbianco;2015-08-30 09:00:00;9;NO2;16,4569989;80400000;08:59;12,00054372;08:00;21,95924352;1,86502981;720;FALSE
Misterbianco;2015-08-30 10:00:00;10;NO2;7,42902055;80400000;09:17;3,75631902;09:00;13,88660935;1,76900343;720;FALSE
Misterbianco;2015-08-30 11:00:00;11;NO2;5,78663358;80400000;10:51;0;10:25;12,04343944;2,59592622;698;FALSE
Misterbianco;2015-08-30 12:00:00;12;NO2;3,82785077;80400000;11:30;0,08427331;11:40;7,47125663;1,22349645;720;FALSE
Misterbianco;2015-08-30 13:00:00;13;NO2;3,2455091;80400000;12:18;0,14146697;12:57;6,59971541;1,04495771;720;FALSE
Misterbianco;2015-08-30 14:00:00;14;NO2;2,08955214;80400000;13:34;0;13:25;4,78513946;0,9897468;720;FALSE
Misterbianco;2015-08-30 15:00:00;15;NO2;4,39322343;80400000;14:09;1,04160598;14:20;8,88580777;1,43915475;720;FALSE
Misterbianco;2015-08-30 16:00:00;16;NO2;5,40797728;80400000;15:47;1,54171826;15:57;10,25746127;1,61807589;720;FALSE
Misterbianco;2015-08-30 17:00:00;17;NO2;7,40912619;80400000;16:19;2,4561552;16:37;12,55785157;1,90170388;720;FALSE
Misterbianco;2015-08-30 18:00:00;18;NO2;13,16103212;80400000;17:31;4,65645612;17:54;28,94620776;5,97833262;720;FALSE
Misterbianco;2015-08-30 19:00:00;19;NO2;22,6990728;80400000;18:08;8,81431618;18:49;35,390164;7,12892068;720;FALSE
Misterbianco;2015-08-30 20:00:00;20;NO2;22,52272904;80400000;19:23;15,71548515;19:59;34,49001352;4,27631228;720;FALSE
Misterbianco;2015-08-30 21:00:00;21;NO2;57,69481032;80400000;20:14;28,00317112;20:52;96,51443312;21,33143832;720;FALSE
Misterbianco;2015-08-30 22:00:00;22;NO2;32,9734916;80400000;21:20;19,78753656;21:00;54,46462016;9,30703858;720;FALSE
Misterbianco;2015-08-30 23:00:00;23;NO2;42,28284752;80400000;22:16;17,44426966;22:37;56,264902;11,16359249;720;FALSE
Misterbianco;2015-08-31 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-08-31 00:00:00;0;NO2;21,7401092;80400000;23:58;10,24316334;23:00;35,390164;5,31856642;720;FALSE
Misterbianco;2015-08-31 01:00:00;1;NO2;11,89830908;80400000;00:39;4,68505199;00:53;23,97401352;4,38399038;716;FALSE
Misterbianco;2015-08-31 01:00:00;1;NO2;11,89830908;80400000;00:39;4,68505199;00:53;23,97401352;4,38399038;716;TRUE
Misterbianco;2015-08-31 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-08-31 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;TRUE
Misterbianco;2015-08-31 03:00:00;3;NO2;27,54253208;80400000;02:21;9,42152914;02:55;70,1979328;19,90762928;720;FALSE
Misterbianco;2015-08-31 03:00:00;3;NO2;27,54253208;80400000;02:21;9,42152914;02:55;70,1979328;19,90762928;720;TRUE
Misterbianco;2015-08-31 04:00:00;4;NO2;56,79297728;80400000;04:00;37,7919228;03:16;72,36715416;9,9384326;720;FALSE
Misterbianco;2015-08-31 04:00:00;4;NO2;56,79297728;80400000;04:00;37,7919228;03:16;72,36715416;9,9384326;720;TRUE
Misterbianco;2015-08-31 05:00:00;5;NO2;24,3427236;80400000;04:53;15,33888234;04:00;38,73494032;5,64504616;720;FALSE
Misterbianco;2015-08-31 05:00:00;5;NO2;24,3427236;80400000;04:53;15,33888234;04:00;38,73494032;5,64504616;720;TRUE
Misterbianco;2015-08-31 06:00:00;6;NO2;26,39068592;80400000;05:08;11,22265034;05:59;51,22953528;13,14024103;720;FALSE
Misterbianco;2015-08-31 06:00:00;6;NO2;26,39068592;80400000;05:08;11,22265034;05:59;51,22953528;13,14024103;720;TRUE
Misterbianco;2015-08-31 07:00:00;7;NO2;48,13960944;80400000;06:37;38,09355992;06:11;57,11857176;4,04742294;720;FALSE
Misterbianco;2015-08-31 07:00:00;7;NO2;48,13960944;80400000;06:37;38,09355992;06:11;57,11857176;4,04742294;720;TRUE
Misterbianco;2015-08-31 08:00:00;8;NO2;40,05278632;80400000;07:54;22,58582504;07:15;58,97632832;11,17112003;720;FALSE
Misterbianco;2015-08-31 08:00:00;8;NO2;40,05278632;80400000;07:54;22,58582504;07:15;58,97632832;11,17112003;720;TRUE
Misterbianco;2015-08-31 09:00:00;9;NO2;24,9044692;80400000;08:51;16,72511675;08:07;38,6500284;5,52463987;720;FALSE
Misterbianco;2015-08-31 09:00:00;9;NO2;24,9044692;80400000;08:51;16,72511675;08:07;38,6500284;5,52463987;720;TRUE
Misterbianco;2015-08-31 10:00:00;10;NO2;17,65025707;80400000;09:32;12,13737026;09:40;25,02834768;1,89534648;720;FALSE
Misterbianco;2015-08-31 10:00:00;10;NO2;17,65025707;80400000;09:32;12,13737026;09:40;25,02834768;1,89534648;720;TRUE
Misterbianco;2015-08-31 11:00:00;11;NO2;9,34580438;80400000;10:49;3,50417785;10:02;17,26741922;2,94828488;720;FALSE
Misterbianco;2015-08-31 11:00:00;11;NO2;9,34580438;80400000;10:49;3,50417785;10:02;17,26741922;2,94828488;720;TRUE
Misterbianco;2015-08-31 12:00:00;12;NO2;8,60537473;80400000;11:15;3,01850499;11:33;14,43831886;2,52086684;720;FALSE
Misterbianco;2015-08-31 12:00:00;12;NO2;8,60537473;80400000;11:15;3,01850499;11:33;14,43831886;2,52086684;720;TRUE
Misterbianco;2015-08-31 13:00:00;13;NO2;5,75752147;80400000;12:48;2,1604166;12:57;10,00630669;1,31914234;720;FALSE
Misterbianco;2015-08-31 13:00:00;13;NO2;5,75752147;80400000;12:48;2,1604166;12:57;10,00630669;1,31914234;720;TRUE
Misterbianco;2015-08-31 14:00:00;14;NO2;6,08013706;80400000;13:56;2,60362011;13:25;10,00630669;1,73919918;720;FALSE
Misterbianco;2015-08-31 14:00:00;14;NO2;6,08013706;80400000;13:56;2,60362011;13:25;10,00630669;1,73919918;720;TRUE
Misterbianco;2015-08-31 15:00:00;15;NO2;8,48974462;80400000;14:12;3,54665293;14:22;12,70798754;1,61997642;720;FALSE
Misterbianco;2015-08-31 15:00:00;15;NO2;8,48974462;80400000;14:12;3,54665293;14:22;12,70798754;1,61997642;720;TRUE
Misterbianco;2015-08-31 16:00:00;16;NO2;8,98216492;80400000;15:01;3,53249266;15:44;13,66517872;2,16997086;720;FALSE
Misterbianco;2015-08-31 16:00:00;16;NO2;8,98216492;80400000;15:01;3,53249266;15:44;13,66517872;2,16997086;720;TRUE
Misterbianco;2015-08-31 17:00:00;17;NO2;13,38467685;80400000;16:04;9,46400422;16:41;16,86669079;1,28341662;720;FALSE
Misterbianco;2015-08-31 17:00:00;17;NO2;13,38467685;80400000;16:04;9,46400422;16:41;16,86669079;1,28341662;720;TRUE
Misterbianco;2015-08-31 18:00:00;18;NO2;22,77954888;80400000;17:00;13,1370327;17:16;30,0876144;3,65642467;720;FALSE
Misterbianco;2015-08-31 18:00:00;18;NO2;22,77954888;80400000;17:00;13,1370327;17:16;30,0876144;3,65642467;720;TRUE
Misterbianco;2015-08-31 19:00:00;19;NO2;29,41491544;80400000;18:00;14,00927754;18:43;50,15478096;8,00484994;720;FALSE
Misterbianco;2015-08-31 19:00:00;19;NO2;29,41491544;80400000;18:00;14,00927754;18:43;50,15478096;8,00484994;720;TRUE
Misterbianco;2015-08-31 20:00:00;20;NO2;20,40576264;80400000;19:18;8,10608461;19:04;33,70402856;6,05190446;720;FALSE
Misterbianco;2015-08-31 20:00:00;20;NO2;20,40576264;80400000;19:18;8,10608461;19:04;33,70402856;6,05190446;720;TRUE
Misterbianco;2015-08-31 21:00:00;21;NO2;16,8547733;80400000;20:17;10,9210247;20:58;25,98555224;3,91400166;720;FALSE
Misterbianco;2015-08-31 21:00:00;21;NO2;16,8547733;80400000;20:17;10,9210247;20:58;25,98555224;3,91400166;720;TRUE
Misterbianco;2015-08-31 22:00:00;22;NO2;40,4739808;80400000;21:00;21,784372;21:29;62,0461208;12,52724618;720;FALSE
Misterbianco;2015-08-31 22:00:00;22;NO2;40,4739808;80400000;21:00;21,784372;21:29;62,0461208;12,52724618;720;TRUE
Misterbianco;2015-08-31 23:00:00;23;NO2;30,29906248;80400000;22:35;12,63720148;22:46;52,8989216;11,41617151;720;FALSE
Misterbianco;2015-08-31 23:00:00;23;NO2;30,29906248;80400000;22:35;12,63720148;22:46;52,8989216;11,41617151;720;TRUE
Misterbianco;2015-09-01 00:00:00;0;NO2;30,40904072;80400000;23:29;15,40967031;00:00;63,2482908;10,85326342;720;FALSE
Misterbianco;2015-09-01 00:00:00;0;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-09-01 00:00:00;0;NO2;30,40904072;80400000;23:29;15,40967031;00:00;63,2482908;10,85326342;720;TRUE
Misterbianco;2015-09-01 01:00:00;1;NO2;43,23913432;80400000;00:25;16,35270504;00:04;72,82450456;19,16573504;720;FALSE
Misterbianco;2015-09-01 01:00:00;1;NO2;43,23913432;80400000;00:25;16,35270504;00:04;72,82450456;19,16573504;720;TRUE
Misterbianco;2015-09-01 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;FALSE
Misterbianco;2015-09-01 02:00:00;2;NO2;NA;NA;;NA;;NA;NA;NA;TRUE
Misterbianco;2015-09-01 03:00:00;3;NO2;16,85540808;80400000;02:30;4,3284181;02:03;45,32279368;9,50045267;720;FALSE
Misterbianco;2015-09-01 03:00:00;3;NO2;16,85540808;80400000;02:30;4,3284181;02:03;45,32279368;9,50045267;720;TRUE
Misterbianco;2015-09-01 04:00:00;4;NO2;20,33608936;80400000;03:35;12,10113404;03:59;45,80838432;7,54708464;720;FALSE
Misterbianco;2015-09-01 04:00:00;4;NO2;20,33608936;80400000;03:35;12,10113404;03:59;45,80838432;7,54708464;720;TRUE
Misterbianco;2015-09-01 05:00:00;5;NO2;55,01315384;80400000;04:21;36,27113712;04:47;71,74290528;8,77072831;720;FALSE
Misterbianco;2015-09-01 05:00:00;5;NO2;55,01315384;80400000;04:21;36,27113712;04:47;71,74290528;8,77072831;720;TRUE
Misterbianco;2015-09-01 06:00:00;6;NO2;74,82701864;80400000;05:00;65,994114;05:27;81,34263664;3,32258182;720;FALSE
Misterbianco;2015-09-01 06:00:00;6;NO2;74,82701864;80400000;05:00;65,994114;05:27;81,34263664;3,32258182;720;TRUE
Misterbianco;2015-09-01 07:00:00;7;NO2;48,55453256;80400000;06:50;14,30679621;06:08;80,3990264;24,65359568;720;FALSE
Misterbianco;2015-09-01 07:00:00;7;NO2;48,55453256;80400000;06:50;14,30679621;06:08;80,3990264;24,65359568;720;TRUE
Misterbianco;2015-09-01 08:00:00;8;NO2;20,4018048;80400000;07:39;14,30679621;07:23;25,34973576;2,05044983;720;FALSE
Misterbianco;2015-09-01 08:00:00;8;NO2;20,4018048;80400000;07:39;14,30679621;07:23;25,34973576;2,05044983;720;TRUE
Misterbianco;2015-09-01 09:00:00;9;NO2;22,36206368;80400000;08:38;13,82008705;08:47;85,05285352;9,52520542;720;FALSE
Misterbianco;2015-09-01 09:00:00;9;NO2;22,36206368;80400000;08:38;13,82008705;08:47;85,05285352;9,52520542;720;TRUE
Misterbianco;2015-09-01 10:00:00;10;NO2;19,22686168;80400000;09:34;13,86566148;09:11;27,6009628;2,60967733;720;FALSE
