xtime;Stazione;hour;Parm;Aver;SWrd;MinT;Min;MaxT;Max;Sigma;Samp;nhour;is_dup
2015-09-05 00:00:00;SASOL SR;0;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 01:00:00;SASOL SR;1;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 02:00:00;SASOL SR;2;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 03:00:00;SASOL SR;3;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 04:00:00;SASOL SR;4;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 05:00:00;SASOL SR;5;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 06:00:00;SASOL SR;6;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 07:00:00;SASOL SR;7;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 08:00:00;SASOL SR;8;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 09:00:00;SASOL SR;9;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 10:00:00;SASOL SR;10;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 11:00:00;SASOL SR;11;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 12:00:00;SASOL SR;12;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 13:00:00;SASOL SR;13;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 14:00:00;SASOL SR;14;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 15:00:00;SASOL SR;15;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 16:00:00;SASOL SR;16;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 17:00:00;SASOL SR;17;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 18:00:00;SASOL SR;18;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 19:00:00;SASOL SR;19;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 20:00:00;SASOL SR;20;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 21:00:00;SASOL SR;21;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 22:00:00;SASOL SR;22;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
2015-09-05 23:00:00;SASOL SR;23;BENZENE;NA;NA;NA;NA;NA;NA;NA;NA;1;FALSE
