"NetC";"ARPA Sicilia";;;;;;;
"Stat";"SASOL SR";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"3";"3";"3";"3";"3";"3";"3";"3"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"01/09/2015 00:00";;;;;;;;
"01/09/2015 01:00";;;;;;;;
"01/09/2015 02:00";;;;;;;;
"01/09/2015 03:00";;;;;;;;
"01/09/2015 04:00";;;;;;;;
"01/09/2015 05:00";;;;;;;;
"01/09/2015 06:00";;;;;;;;
"01/09/2015 07:00";;;;;;;;
"01/09/2015 08:00";;;;;;;;
"01/09/2015 09:00";;;;;;;;
"01/09/2015 10:00";;;;;;;;
"01/09/2015 11:00";;;;;;;;
"01/09/2015 12:00";;;;;;;;
"01/09/2015 13:00";;;;;;;;
"01/09/2015 14:00";;;;;;;;
"01/09/2015 15:00";;;;;;;;
"01/09/2015 16:00";;;;;;;;
"01/09/2015 17:00";;;;;;;;
"01/09/2015 18:00";;;;;;;;
"01/09/2015 19:00";;;;;;;;
"01/09/2015 20:00";;;;;;;;
"01/09/2015 21:00";;;;;;;;
"01/09/2015 22:00";;;;;;;;
"01/09/2015 23:00";;;;;;;;
"02/09/2015 00:00";;;;;;;;
"02/09/2015 01:00";;;;;;;;
"02/09/2015 02:00";;;;;;;;
"02/09/2015 03:00";;;;;;;;
"02/09/2015 04:00";;;;;;;;
"02/09/2015 05:00";;;;;;;;
"02/09/2015 06:00";;;;;;;;
"02/09/2015 07:00";;;;;;;;
"02/09/2015 08:00";;;;;;;;
"02/09/2015 09:00";;;;;;;;
"02/09/2015 10:00";;;;;;;;
"02/09/2015 11:00";;;;;;;;
"02/09/2015 12:00";;;;;;;;
"02/09/2015 13:00";;;;;;;;
"02/09/2015 14:00";;;;;;;;
"02/09/2015 15:00";;;;;;;;
"02/09/2015 16:00";;;;;;;;
"02/09/2015 17:00";;;;;;;;
"02/09/2015 18:00";;;;;;;;
"02/09/2015 19:00";;;;;;;;
"02/09/2015 20:00";;;;;;;;
"02/09/2015 21:00";;;;;;;;
"02/09/2015 22:00";;;;;;;;
"02/09/2015 23:00";;;;;;;;
