"NetC";"ARPA Sicilia";;;;;;;
"Stat";"SASOL SR";;;;;;;
"Parm";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"3";"3";"3";"3";"3";"3";"3";"3"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"07/09/2015 00:00";;;;;;;;
"07/09/2015 01:00";;;;;;;;
"07/09/2015 02:00";;;;;;;;
"07/09/2015 03:00";;;;;;;;
"07/09/2015 04:00";;;;;;;;
"07/09/2015 05:00";;;;;;;;
"07/09/2015 06:00";;;;;;;;
"07/09/2015 07:00";;;;;;;;
"07/09/2015 08:00";;;;;;;;
"07/09/2015 09:00";;;;;;;;
"07/09/2015 10:00";;;;;;;;
"07/09/2015 11:00";;;;;;;;
"07/09/2015 12:00";;;;;;;;
"07/09/2015 13:00";;;;;;;;
"07/09/2015 14:00";;;;;;;;
"07/09/2015 15:00";;;;;;;;
"07/09/2015 16:00";;;;;;;;
"07/09/2015 17:00";;;;;;;;
"07/09/2015 18:00";;;;;;;;
"07/09/2015 19:00";;;;;;;;
"07/09/2015 20:00";;;;;;;;
"07/09/2015 21:00";;;;;;;;
"07/09/2015 22:00";;;;;;;;
"07/09/2015 23:00";;;;;;;;
"08/09/2015 00:00";;;;;;;;
"08/09/2015 01:00";;;;;;;;
"08/09/2015 02:00";;;;;;;;
"08/09/2015 03:00";;;;;;;;
"08/09/2015 04:00";;;;;;;;
"08/09/2015 05:00";;;;;;;;
"08/09/2015 06:00";;;;;;;;
"08/09/2015 07:00";;;;;;;;
"08/09/2015 08:00";;;;;;;;
"08/09/2015 09:00";;;;;;;;
"08/09/2015 10:00";;;;;;;;
"08/09/2015 11:00";;;;;;;;
"08/09/2015 12:00";;;;;;;;
"08/09/2015 13:00";;;;;;;;
"08/09/2015 14:00";;;;;;;;
"08/09/2015 15:00";;;;;;;;
"08/09/2015 16:00";;;;;;;;
"08/09/2015 17:00";;;;;;;;
"08/09/2015 18:00";;;;;;;;
"08/09/2015 19:00";;;;;;;;
"08/09/2015 20:00";;;;;;;;
"08/09/2015 21:00";;;;;;;;
"08/09/2015 22:00";;;;;;;;
"08/09/2015 23:00";;;;;;;;
